"state","puma2k","puma12","stab","PUMAname","PUMA2kName","pop10","afact"
"FIPS state","puma2k","puma12","State Postal Code","PUMA12 Name","PUMA 2K Name","Total Pop, 2010 census","puma2k to puma12 alloc factor"
"01","02600","02500","AL","Houston, Dale, Geneva & Henry Counties--Dothan City","0102600",151802,1 
"02","00101","00101","AK","Anchorage Municipality (North)","0200101",132542,1 
"02","00102","00102","AK","Anchorage Municipality (South)","0200102",159284,1 
"02","00200","00200","AK","Matanuska-Susitna & Kenai Peninsula Boroughs","0200200",144395,1 
"02","00300","00300","AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska","0200300",163327,0.948 
"02","00300","00400","AK","Subsistence Alaska","0200300",8881,0.052 
"02","00400","00300","AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska","0200400",973,0.01 
"02","00400","00400","AK","Subsistence Alaska","0200400",100829,0.99 
"04","00101","00129","AZ","Phoenix (Far North) & Peoria (Northwest) Cities","0400101",2259,0.016 
"04","00101","00130","AZ","Maricopa County--El Mirage City & Sun City","0400101",75717,0.524 
"04","00101","00131","AZ","Maricopa County--Surprise City (Central)","0400101",27457,0.19 
"04","00101","00134","AZ","Maricopa County (West) & Gila River Indian Community (Northwest)","0400101",39106,0.271 
"04","00102","00127","AZ","Maricopa County--Peoria City (South & Central)","0400102",110162,0.753 
"04","00102","00129","AZ","Phoenix (Far North) & Peoria (Northwest) Cities","0400102",33160,0.227 
"04","00102","00130","AZ","Maricopa County--El Mirage City & Sun City","0400102",2886,0.02 
"04","00103","00112","AZ","Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek","0400103",21,0 
"04","00103","00125","AZ","Phoenix City (West)","0400103",61676,0.263 
"04","00103","00126","AZ","Maricopa County--Glendale City (North)","0400103",3124,0.013 
"04","00103","00128","AZ","Phoenix City (North)","0400103",103065,0.439 
"04","00103","00129","AZ","Phoenix (Far North) & Peoria (Northwest) Cities","0400103",66904,0.285 
"04","00104","00112","AZ","Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek","0400104",51916,0.255 
"04","00104","00113","AZ","Phoenix City (Northeast)","0400104",57994,0.285 
"04","00104","00114","AZ","Phoenix City (Northeast Central)","0400104",46022,0.226 
"04","00104","00115","AZ","Phoenix City (Northwest Central)","0400104",43878,0.216 
"04","00104","00129","AZ","Phoenix (Far North) & Peoria (Northwest) Cities","0400104",3495,0.017 
"04","00105","00110","AZ","Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town","0400105",33777,0.193 
"04","00105","00111","AZ","Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town","0400105",87896,0.502 
"04","00105","00112","AZ","Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek","0400105",53541,0.306 
"04","00106","00110","AZ","Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town","0400106",83181,0.83 
"04","00106","00111","AZ","Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town","0400106",16981,0.17 
"04","00107","00113","AZ","Phoenix City (Northeast)","0400107",44195,0.315 
"04","00107","00114","AZ","Phoenix City (Northeast Central)","0400107",44883,0.32 
"04","00107","00115","AZ","Phoenix City (Northwest Central)","0400107",44822,0.319 
"04","00107","00116","AZ","Phoenix City (Uptown)","0400107",6419,0.046 
"04","00108","00126","AZ","Maricopa County--Glendale City (North)","0400108",113505,1 
"04","00109","00124","AZ","Maricopa County--Glendale City (South)","0400109",100367,0.587 
"04","00109","00126","AZ","Maricopa County--Glendale City (North)","0400109",5212,0.03 
"04","00109","00127","AZ","Maricopa County--Peoria City (South & Central)","0400109",3285,0.019 
"04","00109","00130","AZ","Maricopa County--El Mirage City & Sun City","0400109",29812,0.174 
"04","00109","00132","AZ","Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities","0400109",28101,0.164 
"04","00109","00133","AZ","Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities","0400109",4277,0.025 
"04","00110","00121","AZ","Phoenix (Southwest) & Tolleson Cities","0400110",21087,0.062 
"04","00110","00130","AZ","Maricopa County--El Mirage City & Sun City","0400110",7807,0.023 
"04","00110","00131","AZ","Maricopa County--Surprise City (Central)","0400110",76083,0.225 
"04","00110","00132","AZ","Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities","0400110",74470,0.22 
"04","00110","00133","AZ","Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities","0400110",88197,0.261 
"04","00110","00134","AZ","Maricopa County (West) & Gila River Indian Community (Northwest)","0400110",70776,0.209 
"04","00111","00121","AZ","Phoenix (Southwest) & Tolleson Cities","0400111",6545,0.036 
"04","00111","00122","AZ","Phoenix City--Maryvale (East)","0400111",44963,0.247 
"04","00111","00123","AZ","Phoenix City--Maryvale (West)","0400111",84198,0.463 
"04","00111","00125","AZ","Phoenix City (West)","0400111",34644,0.19 
"04","00111","00133","AZ","Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities","0400111",11515,0.063 
"04","00112","00114","AZ","Phoenix City (Northeast Central)","0400112",12734,0.082 
"04","00112","00115","AZ","Phoenix City (Northwest Central)","0400112",13057,0.084 
"04","00112","00116","AZ","Phoenix City (Uptown)","0400112",93793,0.603 
"04","00112","00118","AZ","Phoenix City--Downtown & Sky Harbor International Airport","0400112",24792,0.159 
"04","00112","00122","AZ","Phoenix City--Maryvale (East)","0400112",5574,0.036 
"04","00112","00125","AZ","Phoenix City (West)","0400112",5612,0.036 
"04","00113","00117","AZ","Phoenix City (East)","0400113",97283,0.986 
"04","00113","00118","AZ","Phoenix City--Downtown & Sky Harbor International Airport","0400113",1410,0.014 
"04","00114","00101","AZ","Maricopa County--Mesa City (East)","0400114",52193,0.264 
"04","00114","00102","AZ","Maricopa County--Mesa City (North Central)","0400114",107175,0.543 
"04","00114","00103","AZ","Maricopa County--Mesa City (West)","0400114",3390,0.017 
"04","00114","00104","AZ","Maricopa County--Mesa City (South Central)","0400114",34733,0.176 
"04","00115","00102","AZ","Maricopa County--Mesa City (North Central)","0400115",23938,0.167 
"04","00115","00103","AZ","Maricopa County--Mesa City (West)","0400115",102701,0.718 
"04","00115","00104","AZ","Maricopa County--Mesa City (South Central)","0400115",16415,0.115 
"04","00116","00108","AZ","Maricopa County--Tempe (South) & Chandler (Northwest) Cities","0400116",63837,0.385 
"04","00116","00109","AZ","Maricopa County--Tempe City (North)","0400116",102150,0.615 
"04","00117","00117","AZ","Phoenix City (East)","0400117",3161,0.023 
"04","00117","00118","AZ","Phoenix City--Downtown & Sky Harbor International Airport","0400117",74690,0.538 
"04","00117","00119","AZ","Phoenix City (South)","0400117",60884,0.439 
"04","00118","00118","AZ","Phoenix City--Downtown & Sky Harbor International Airport","0400118",7822,0.046 
"04","00118","00119","AZ","Phoenix City (South)","0400118",23428,0.137 
"04","00118","00121","AZ","Phoenix (Southwest) & Tolleson Cities","0400118",61265,0.359 
"04","00118","00122","AZ","Phoenix City--Maryvale (East)","0400118",53790,0.315 
"04","00118","00123","AZ","Phoenix City--Maryvale (West)","0400118",24206,0.142 
"04","00119","00119","AZ","Phoenix City (South)","0400119",21202,0.136 
"04","00119","00120","AZ","Phoenix City--Ahwatukee & South Mountain","0400119",100182,0.641 
"04","00119","00121","AZ","Phoenix (Southwest) & Tolleson Cities","0400119",34848,0.223 
"04","00120","00100","AZ","Maricopa County--Gilbert (South) & Queen Creek Towns","0400120",472,0.002 
"04","00120","00105","AZ","Maricopa County--Gilbert Town (North)","0400120",2839,0.011 
"04","00120","00106","AZ","Maricopa County--Chandler City (Northeast)","0400120",111536,0.442 
"04","00120","00107","AZ","Maricopa County--Chandler City (South)","0400120",100430,0.398 
"04","00120","00108","AZ","Maricopa County--Tempe (South) & Chandler (Northwest) Cities","0400120",37211,0.147 
"04","00121","00100","AZ","Maricopa County--Gilbert (South) & Queen Creek Towns","0400121",110811,0.451 
"04","00121","00105","AZ","Maricopa County--Gilbert Town (North)","0400121",132480,0.539 
"04","00121","00106","AZ","Maricopa County--Chandler City (Northeast)","0400121",2500,0.01 
"04","00122","00101","AZ","Maricopa County--Mesa City (East)","0400122",94111,0.657 
"04","00122","00104","AZ","Maricopa County--Mesa City (South Central)","0400122",49081,0.343 
"04","00201","00207","AZ","Tucson City (Northwest)","0400201",31737,0.227 
"04","00201","00208","AZ","Tucson City (South)","0400201",108063,0.773 
"04","00202","00206","AZ","Tucson City (Northeast)","0400202",20175,0.194 
"04","00202","00209","AZ","Tucson City (Southeast)","0400202",83982,0.806 
"04","00203","00204","AZ","Pima County (Northeast)","0400203",104334,1 
"04","00204","00202","AZ","Tucson (West) & Marana Cities","0400204",18231,0.13 
"04","00204","00206","AZ","Tucson City (Northeast)","0400204",51395,0.368 
"04","00204","00207","AZ","Tucson City (Northwest)","0400204",70190,0.502 
"04","00205","00202","AZ","Tucson (West) & Marana Cities","0400205",10805,0.09 
"04","00205","00203","AZ","Pima County (North Central)--Oro Valley Town","0400205",109462,0.91 
"04","00206","00204","AZ","Pima County (Northeast)","0400206",100,0.001 
"04","00206","00205","AZ","Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town","0400206",88432,0.587 
"04","00206","00206","AZ","Tucson City (Northeast)","0400206",30589,0.203 
"04","00206","00209","AZ","Tucson City (Southeast)","0400206",31458,0.209 
"04","00207","00201","AZ","Pima County (West)","0400207",101172,0.457 
"04","00207","00202","AZ","Tucson (West) & Marana Cities","0400207",86285,0.39 
"04","00207","00205","AZ","Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town","0400207",33853,0.153 
"04","00300","00300","AZ","Navajo & Apache Counties","0400300",178967,1 
"04","00400","00400","AZ","Coconino County--Flagstaff City","0400400",134421,1 
"04","00500","00500","AZ","Yavapai County","0400500",211033,1 
"04","00600","00600","AZ","Mohave & La Paz Counties--Lake Havasu City","0400600",220675,1 
"04","00700","00700","AZ","Yuma County--Yuma City","0400700",195751,1 
"04","00800","00800","AZ","Gila, Graham, Greenlee & Pinal (East) Counties","0400800",64457,0.15 
"04","00800","00803","AZ","Pinal County (North)--Apache Junction City","0400800",123512,0.288 
"04","00800","00805","AZ","Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities","0400800",114145,0.266 
"04","00800","00807","AZ","Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities","0400800",127253,0.296 
"04","00900","00800","AZ","Gila, Graham, Greenlee & Pinal (East) Counties","0400900",45657,0.203 
"04","00900","00900","AZ","Cochise & Santa Cruz Counties--Sierra Vista City","0400900",178766,0.797 
"05","00100","00100","AR","Benton County","0500100",221339,1 
"05","00100","00200","AR","Washington County","0500100",93,0 
"05","00200","00200","AR","Washington County","0500200",202972,1 
"05","00300","00300","AR","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties","0500300",154757,1 
"05","00400","00400","AR","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties","0500400",135509,1 
"05","00500","00500","AR","Craighead (West), Greene, Randolph, Lawrence & Clay Counties","0500500",180287,0.949 
"05","00500","00600","AR","Crittenden, Mississippi & Craighead (East) Counties","0500500",9713,0.051 
"05","00600","00600","AR","Crittenden, Mississippi & Craighead (East) Counties","0500600",97382,1 
"05","00700","00700","AR","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties","0500700",102892,1 
"05","00800","00700","AR","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties","0500800",8149,0.068 
"05","00800","00800","AR","White, Jackson, Prairie & Woodruff Counties","0500800",111048,0.932 
"05","00900","00900","AR","Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities","0500900",10307,0.054 
"05","00900","01000","AR","Pulaski County (Central)--Little Rock City","0500900",182199,0.946 
"05","01000","00900","AR","Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities","0501000",187419,0.985 
"05","01000","01000","AR","Pulaski County (Central)--Little Rock City","0501000",2823,0.015 
"05","01100","01100","AR","Faulkner & Lonoke Counties","0501100",181593,0.629 
"05","01100","01200","AR","Saline County","0501100",107118,0.371 
"05","01200","00400","AR","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties","0501200",2,0 
"05","01200","01300","AR","Pope, Johnson, Yell, Conway & Perry Counties","0501200",141197,1 
"05","01300","01400","AR","Sebastian & Crawford Counties","0501300",187692,1 
"05","01400","01500","AR","Logan, Polk, Franklin, Sevier, Howard & Scott Counties","0501400",103216,1 
"05","01500","01500","AR","Logan, Polk, Franklin, Sevier, Howard & Scott Counties","0501500",4,0 
"05","01500","01600","AR","Garland, Hot Spring, Clark & Montgomery Counties","0501500",161429,1 
"05","01600","01700","AR","Jefferson, Grant & Arkansas (Northwest) Counties","0501600",106729,0.934 
"05","01600","01800","AR","Southeast Arkansas","0501600",7578,0.066 
"05","01700","01800","AR","Southeast Arkansas","0501700",99501,1 
"05","01800","01900","AR","South Central Arkansas","0501800",105795,1 
"05","01900","02000","AR","Southwest Arkansas","0501900",107175,1 
"06","00100","01500","CA","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties","0600100",118091,1 
"06","00200","02300","CA","Humboldt County","0600200",134623,1 
"06","00300","08900","CA","Shasta County--Redding City","0600300",177223,1 
"06","00400","03300","CA","Lake & Mendocino Counties","0600400",152506,1 
"06","00500","01100","CA","Colusa, Glenn, Tehama & Trinity Counties","0600500",126790,1 
"06","00600","00701","CA","Butte County (Northwest)--Chico City","0600600",111389,0.506 
"06","00600","00702","CA","Butte County (Southeast)--Oroville City & Paradise Town","0600600",108611,0.494 
"06","00600","10100","CA","Sutter & Yuba Counties--Yuba City","0600600",6,0 
"06","00700","01500","CA","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties","0600700",20007,0.164 
"06","00700","05700","CA","Nevada & Sierra Counties","0600700",102004,0.836 
"06","00800","10100","CA","Sutter & Yuba Counties--Yuba City","0600800",166886,1 
"06","00900","11300","CA","Yolo County--Davis, Woodland & West Sacramento Cities","0600900",200849,1 
"06","01000","05500","CA","Napa County--Napa City","0601000",136484,1 
"06","01101","09701","CA","Sonoma County (North)--Windsor Town, Healdsburg & Sonoma Cities","0601101",179083,1 
"06","01102","09702","CA","Sonoma County (South)--Petaluma, Rohnert Park & Cotati Cities","0601102",120153,1 
"06","01103","09703","CA","Sonoma County (Central)--Santa Rosa City","0601103",184642,1 
"06","01201","04101","CA","Marin County (North & West)--Novato & San Rafael (North) Cities","0601201",104847,1 
"06","01202","04102","CA","Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities","0601202",147562,1 
"06","01301","09501","CA","Solano County (Southwest)--Vallejo & Benicia Cities","0601301",144838,1 
"06","01302","09502","CA","Solano County (Central)--Fairfield & Suisun City Cities","0601302",138815,1 
"06","01303","09503","CA","Solano County (Northeast)--Vacaville & Dixon Cities","0601303",129691,1 
"06","01401","06705","CA","Sacramento County (Northwest)--Sacramento City (Northwest/Natomas)","0601401",103525,0.554 
"06","01401","06706","CA","Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda","0601401",51092,0.273 
"06","01401","06707","CA","Sacramento County (West)--Sacramento City (Central/Downtown & Midtown)","0601401",32367,0.173 
"06","01402","06703","CA","Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West)","0601402",58,0.001 
"06","01402","06704","CA","Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park","0601402",38,0 
"06","01402","06707","CA","Sacramento County (West)--Sacramento City (Central/Downtown & Midtown)","0601402",41388,0.393 
"06","01402","06708","CA","Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park)","0601402",63724,0.606 
"06","01403","06707","CA","Sacramento County (West)--Sacramento City (Central/Downtown & Midtown)","0601403",31457,0.18 
"06","01403","06708","CA","Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park)","0601403",3903,0.022 
"06","01403","06709","CA","Sacramento County--Sacramento City (Southwest/Pocket, Meadowview & North Laguna)","0601403",137826,0.791 
"06","01403","06710","CA","Sacramento County (Central)--Elk Grove City","0601403",1082,0.006 
"06","01403","06711","CA","Sacramento County (South)--Galt, Isleton Cities & Delta Region","0601403",33,0 
"06","01501","06704","CA","Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park","0601501",76750,0.537 
"06","01501","06705","CA","Sacramento County (Northwest)--Sacramento City (Northwest/Natomas)","0601501",718,0.005 
"06","01501","06706","CA","Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda","0601501",65543,0.458 
"06","01502","06701","CA","Sacramento County (North Central)--Citrus Heights City","0601502",105079,1 
"06","01503","06702","CA","Sacramento County (Central)--Rancho Cordova City","0601503",15622,0.093 
"06","01503","06703","CA","Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West)","0601503",44470,0.264 
"06","01503","06712","CA","Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East)","0601503",108214,0.643 
"06","01504","06702","CA","Sacramento County (Central)--Rancho Cordova City","0601504",49587,0.299 
"06","01504","06703","CA","Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West)","0601504",64842,0.391 
"06","01504","06704","CA","Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park","0601504",42910,0.259 
"06","01504","06707","CA","Sacramento County (West)--Sacramento City (Central/Downtown & Midtown)","0601504",8486,0.051 
"06","01505","06708","CA","Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park)","0601505",63712,0.347 
"06","01505","06710","CA","Sacramento County (Central)--Elk Grove City","0601505",92061,0.502 
"06","01505","06711","CA","Sacramento County (South)--Galt, Isleton Cities & Delta Region","0601505",27698,0.151 
"06","01506","06702","CA","Sacramento County (Central)--Rancho Cordova City","0601506",45659,0.246 
"06","01506","06708","CA","Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park)","0601506",1719,0.009 
"06","01506","06710","CA","Sacramento County (Central)--Elk Grove City","0601506",59499,0.32 
"06","01506","06711","CA","Sacramento County (South)--Galt, Isleton Cities & Delta Region","0601506",78770,0.424 
"06","01601","06101","CA","Placer County (Southwest)--Roseville City","0601601",8762,0.047 
"06","01601","06102","CA","Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town","0601601",65859,0.353 
"06","01601","06103","CA","Placer County (East/High Country Region)--Auburn & Colfax Cities","0601601",111831,0.6 
"06","01602","06101","CA","Placer County (Southwest)--Roseville City","0601602",115374,0.712 
"06","01602","06102","CA","Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town","0601602",46606,0.288 
"06","01700","01700","CA","El Dorado County--El Dorado Hills","0601700",181058,0.995 
"06","01700","06712","CA","Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East)","0601700",956,0.005 
"06","01800","00300","CA","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties","0601800",191208,1 
"06","01901","07702","CA","San Joaquin County (Central)--Stockton City (South)","0601901",123551,0.993 
"06","01901","07704","CA","San Joaquin County (North)--Lodi, Ripon & Escalon Cities","0601901",907,0.007 
"06","01902","07701","CA","San Joaquin County (Central)--Stockton City (North)","0601902",153232,0.981 
"06","01902","07704","CA","San Joaquin County (North)--Lodi, Ripon & Escalon Cities","0601902",2999,0.019 
"06","02001","07703","CA","San Joaquin County (South)--Tracy, Manteca & Lathrop Cities","0602001",195536,0.909 
"06","02001","07704","CA","San Joaquin County (North)--Lodi, Ripon & Escalon Cities","0602001",19473,0.091 
"06","02002","07701","CA","San Joaquin County (Central)--Stockton City (North)","0602002",20705,0.109 
"06","02002","07702","CA","San Joaquin County (Central)--Stockton City (South)","0602002",28459,0.15 
"06","02002","07704","CA","San Joaquin County (North)--Lodi, Ripon & Escalon Cities","0602002",140444,0.741 
"06","02101","01301","CA","Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities","0602101",114768,0.878 
"06","02101","01302","CA","Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites","0602101",15971,0.122 
"06","02102","01301","CA","Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities","0602102",9,0 
"06","02102","01302","CA","Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites","0602102",102700,0.855 
"06","02102","01303","CA","Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities","0602102",17450,0.145 
"06","02103","01303","CA","Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities","0602103",91188,0.846 
"06","02103","01304","CA","Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town","0602103",106,0.001 
"06","02103","01306","CA","Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities","0602103",13212,0.123 
"06","02103","01307","CA","Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities","0602103",3281,0.03 
"06","02104","01304","CA","Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town","0602104",100105,0.672 
"06","02104","01306","CA","Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities","0602104",48789,0.328 
"06","02105","01304","CA","Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town","0602105",17573,0.124 
"06","02105","01305","CA","Contra Costa County (South)--San Ramon City & Danville Town","0602105",124585,0.876 
"06","02106","01303","CA","Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities","0602106",20987,0.161 
"06","02106","01306","CA","Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities","0602106",50210,0.385 
"06","02106","01307","CA","Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities","0602106",41216,0.316 
"06","02106","01308","CA","Contra Costa County (Northeast)--Antioch City","0602106",17895,0.137 
"06","02107","01307","CA","Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities","0602107",75977,0.69 
"06","02107","01308","CA","Contra Costa County (Northeast)--Antioch City","0602107",34119,0.31 
"06","02108","01308","CA","Contra Costa County (Northeast)--Antioch City","0602108",55199,0.347 
"06","02108","01309","CA","Contra Costa County (East)--Brentwood & Oakley Cities","0602108",103685,0.653 
"06","02201","07501","CA","San Francisco County (North & West)--Richmond District","0602201",136936,1 
